feature,lang,diff,stderr,ci95_l,ci95_u,method,groupid
-|Δf0|,Japanese,0.519318637812251,0.00786289341188978,0.503903841660714,0.534733433963789,common language effect size,14
Spectral centroid,Japanese,0.656082503475898,0.00901560833954645,0.638405236138812,0.673759770812984,common language effect size,14
f0,Thai,0.979887724845511,0.00138852338946477,0.977165506270887,0.982609943420135,common language effect size,15
-|Δf0|,Thai,0.782829467280687,0.00632348250235781,0.770432677914899,0.795226256646474,common language effect size,15
Spectral centroid,Thai,0.476128443285564,0.00937863569467651,0.457740302882379,0.494516583688748,common language effect size,15
f0,Spanish,0.800872471753612,0.00605371321437045,0.789004326525897,0.812740616981328,common language effect size,16
-|Δf0|,Spanish,0.70744234785674,0.00746751541785726,0.692802191700553,0.722082504012927,common language effect size,16
Spectral centroid,Spanish,0.57825375,0.00912812901040256,0.560357041637046,0.596150458362954,common language effect size,16
f0,Balinese,0.999528398301897,0.000152634082554316,0.99922910416767,0.999827692436124,common language effect size,17
-|Δf0|,Balinese,0.673892392648738,0.00792399703618413,0.658356270519854,0.689428514777622,common language effect size,17
Spectral centroid,Balinese,0.574891714562509,0.0090363869687446,0.557175183484736,0.592608245640282,common language effect size,17
f0,Chilean,0.678859348589233,0.00987242823099338,0.659497244456938,0.698221452721529,common language effect size,18
-|Δf0|,Chilean,0.776366192894829,0.0074498559518318,0.761758404896666,0.790973980892992,common language effect size,18
Spectral centroid,Chilean,0.443746064125685,0.00954986096642487,0.425020428336777,0.462471699914592,common language effect size,18
f0,English,0.907886615159673,0.00412469848211832,0.899800260250609,0.915972970068737,common language effect size,19
-|Δf0|,English,0.537599376089777,0.00828841590057842,0.521349780708506,0.553848971471048,common language effect size,19
Spectral centroid,English,0.68916323436803,0.00841660654941108,0.672661793752242,0.705664674983817,common language effect size,19
f0,Wolof,0.999999906406039,1.32361849451595e-07,0.999999646910554,1.00000016590152,common language effect size,20
-|Δf0|,Wolof,0.662063278877247,0.00841839654796536,0.645556776845655,0.678569780908839,common language effect size,20
Spectral centroid,Wolof,0.871675606474624,0.00608354253930046,0.859746940525616,0.883604272423632,common language effect size,20
f0,Hebrew,0.940310664184601,0.0032513266064016,0.933936243644974,0.946685084724228,common language effect size,21
-|Δf0|,Hebrew,0.698927144406363,0.00724770086140112,0.684718331453776,0.71313595735895,common language effect size,21
Spectral centroid,Hebrew,0.47495911873978,0.00920543418758501,0.456911289225925,0.493006948253634,common language effect size,21
f0,Catalan,0.834700310065219,0.00606142753405517,0.822817026384443,0.846583593745995,common language effect size,22
-|Δf0|,Catalan,0.665040065947718,0.00767059279969162,0.650002312299989,0.680077819595446,common language effect size,22
Spectral centroid,Catalan,0.235044925104865,0.00731936333786826,0.22069478744533,0.2493950627644,common language effect size,22
f0,Portuguese,0.664393938776724,0.0075477967974363,0.649596976452257,0.679190901101191,common language effect size,23
-|Δf0|,Portuguese,0.735093192244802,0.00712129913815614,0.721131790918115,0.749054593571489,common language effect size,23
Spectral centroid,Portuguese,0.453924447181191,0.00933246081082071,0.435626770418564,0.472222123943817,common language effect size,23
f0,Amamidialect,0.9328075128565,0.00361213553614633,0.925725623960533,0.939889401752467,common language effect size,24
-|Δf0|,Amamidialect,0.627718379873232,0.00816493962160358,0.611710532111193,0.643726227635272,common language effect size,24
Spectral centroid,Amamidialect,0.791912632821724,0.00744316566888443,0.777319295254032,0.806505970389416,common language effect size,24
f0,Swahili,0.353932007284674,0.00729176052555788,0.339637272886491,0.368226741682858,common language effect size,25
-|Δf0|,Swahili,0.720618808299051,0.00685790541792218,0.707174521521225,0.734063095076878,common language effect size,25
Spectral centroid,Swahili,0.423388505647226,0.00908247860304241,0.4055817707204,0.441195240574053,common language effect size,25
