feature,name,lang,sex,type,mean,std,groupid
f0,Pitch height,Hadza,M,song,-2168.64260897692,327.839031777755,28
-|Δf0|,Pitch stability,Hadza,M,song,-3183.18808892397,2666.57546073981,28
Spectral centroid,Timbral brightness,Hadza,M,song,432.682860269546,510.238667219685,28
f0,Pitch height,Hadza,M,desc,-2116.1083294463,689.715497737189,28
-|Δf0|,Pitch stability,Hadza,M,desc,-3869.78561713951,3418.84327075593,28
Spectral centroid,Timbral brightness,Hadza,M,desc,565.973444741598,638.529101351651,28
f0,Pitch height,Hadza,M,song,-2013.71919774122,404.812520270599,29
-|Δf0|,Pitch stability,Hadza,M,song,-2876.01426886478,2594.41592131385,29
Spectral centroid,Timbral brightness,Hadza,M,song,420.916197770247,291.089961944,29
f0,Pitch height,Hadza,M,desc,-2283.91702578192,264.596891634806,29
-|Δf0|,Pitch stability,Hadza,M,desc,-3858.04094607373,3135.93839680495,29
Spectral centroid,Timbral brightness,Hadza,M,desc,474.343849711111,551.412412032602,29
f0,Pitch height,Hadza,F,song,-1133.14927731443,459.346196949673,30
-|Δf0|,Pitch stability,Hadza,F,song,-2864.21846286572,2483.28230291132,30
Spectral centroid,Timbral brightness,Hadza,F,song,672.582659554156,722.703569751103,30
f0,Pitch height,Hadza,F,desc,-1425.30125820289,222.028569666111,30
-|Δf0|,Pitch stability,Hadza,F,desc,-4259.25853389314,3383.23032387297,30
Spectral centroid,Timbral brightness,Hadza,F,desc,674.125313652658,1168.05825384774,30
f0,Pitch height,Hadza,M,song,-1959.30259060707,360.892606443067,31
-|Δf0|,Pitch stability,Hadza,M,song,-1874.86656966552,2244.79748845631,31
Spectral centroid,Timbral brightness,Hadza,M,song,423.980328228536,408.527479034296,31
f0,Pitch height,Hadza,M,desc,-2099.41821067951,276.162183162907,31
-|Δf0|,Pitch stability,Hadza,M,desc,-3693.43368090296,3003.52737123956,31
Spectral centroid,Timbral brightness,Hadza,M,desc,524.186964370519,754.974598480846,31
f0,Pitch height,Hadza,F,song,-1156.12462983772,280.444504705335,32
-|Δf0|,Pitch stability,Hadza,F,song,-1954.71460874393,1923.16836655805,32
Spectral centroid,Timbral brightness,Hadza,F,song,610.472056300191,985.926953767523,32
f0,Pitch height,Hadza,F,desc,-1582.66851421422,583.79734837543,32
-|Δf0|,Pitch stability,Hadza,F,desc,-3486.76138803383,2789.71454366994,32
Spectral centroid,Timbral brightness,Hadza,F,desc,579.908126824417,988.79633447393,32
f0,Pitch height,Kannada,F,song,-1267.26932917106,221.008544319768,33
-|Δf0|,Pitch stability,Kannada,F,song,-1545.96972791041,1533.00628553121,33
Spectral centroid,Timbral brightness,Kannada,F,song,774.577095054414,984.115618060833,33
f0,Pitch height,Kannada,F,desc,-1371.13715901352,289.792246121761,33
-|Δf0|,Pitch stability,Kannada,F,desc,-1852.03254486288,1498.51055668319,33
Spectral centroid,Timbral brightness,Kannada,F,desc,921.818676424498,954.288275902487,33
f0,Pitch height,Kannada,F,song,-1348.64851795067,344.112748465207,34
-|Δf0|,Pitch stability,Kannada,F,song,-2295.57234317201,2302.17883353105,34
Spectral centroid,Timbral brightness,Kannada,F,song,977.654972892893,1457.33008169597,34
f0,Pitch height,Kannada,F,desc,-1573.73351026788,166.336468487598,34
-|Δf0|,Pitch stability,Kannada,F,desc,-2317.7296230025,1886.70741970435,34
Spectral centroid,Timbral brightness,Kannada,F,desc,1812.97863057255,1292.94254544124,34
f0,Pitch height,Kannada,F,song,-1727.76517126086,1201.4399244169,35
-|Δf0|,Pitch stability,Kannada,F,song,-2186.38547166012,2711.92250853143,35
Spectral centroid,Timbral brightness,Kannada,F,song,602.178149606927,794.068040374291,35
f0,Pitch height,Kannada,F,desc,-1235.60800208483,209.054975053044,35
-|Δf0|,Pitch stability,Kannada,F,desc,-3194.73599883602,2657.57689475618,35
Spectral centroid,Timbral brightness,Kannada,F,desc,1692.38496672199,2110.73207800581,35
f0,Pitch height,Kannada,F,song,-703.93156414006,220.96759301271,36
-|Δf0|,Pitch stability,Kannada,F,song,-2079.90917575477,1772.52177299657,36
Spectral centroid,Timbral brightness,Kannada,F,song,722.570702079947,641.33945749467,36
f0,Pitch height,Kannada,F,desc,-413.697410318104,674.859559704591,36
-|Δf0|,Pitch stability,Kannada,F,desc,-2270.89540162249,1685.80315033589,36
Spectral centroid,Timbral brightness,Kannada,F,desc,807.964739355121,474.886395653865,36
f0,Pitch height,Kannada,F,song,-1091.70158177955,182.065787357665,37
-|Δf0|,Pitch stability,Kannada,F,song,-1752.55343697774,1756.72782405495,37
Spectral centroid,Timbral brightness,Kannada,F,song,773.281523396699,417.006613541697,37
f0,Pitch height,Kannada,F,desc,-1081.87699901122,208.250865734337,37
-|Δf0|,Pitch stability,Kannada,F,desc,-2096.95469290406,2041.64892292676,37
Spectral centroid,Timbral brightness,Kannada,F,desc,864.746129343618,816.404736359544,37
f0,Pitch height,Kannada,F,song,-973.557378106221,206.915830035148,38
-|Δf0|,Pitch stability,Kannada,F,song,-1547.43095225042,1405.40716993396,38
Spectral centroid,Timbral brightness,Kannada,F,song,835.232562657715,769.081272822187,38
f0,Pitch height,Kannada,F,desc,-1311.4060976588,123.054425900002,38
-|Δf0|,Pitch stability,Kannada,F,desc,-1742.46532268602,1261.17750134371,38
Spectral centroid,Timbral brightness,Kannada,F,desc,577.918886517421,516.324789990418,38
f0,Pitch height,Kannada,F,song,-690.944678754097,480.764899813943,39
-|Δf0|,Pitch stability,Kannada,F,song,-2823.31135203677,2523.39319262842,39
Spectral centroid,Timbral brightness,Kannada,F,song,570.359471434892,357.369537524652,39
f0,Pitch height,Kannada,F,desc,-1429.65006183326,478.260315833415,39
-|Δf0|,Pitch stability,Kannada,F,desc,-2451.99928961735,2553.43241830862,39
Spectral centroid,Timbral brightness,Kannada,F,desc,721.328724550823,407.870768785896,39
f0,Pitch height,Kannada,F,song,-1128.96317278145,381.998664881566,40
-|Δf0|,Pitch stability,Kannada,F,song,-2061.77677300136,1910.18200678265,40
Spectral centroid,Timbral brightness,Kannada,F,song,769.517250894478,914.770246801915,40
f0,Pitch height,Kannada,F,desc,-1672.22381775743,748.856413453263,40
-|Δf0|,Pitch stability,Kannada,F,desc,-1127.66230543564,992.66038256947,40
Spectral centroid,Timbral brightness,Kannada,F,desc,608.39088073434,613.995091482794,40
f0,Pitch height,Kannada,F,song,-1075.40846334112,185.282241145186,41
-|Δf0|,Pitch stability,Kannada,F,song,-2279.15779189207,1858.79787932957,41
Spectral centroid,Timbral brightness,Kannada,F,song,759.447788589805,816.51048340767,41
f0,Pitch height,Kannada,F,desc,-1081.07418734766,859.37785410528,41
-|Δf0|,Pitch stability,Kannada,F,desc,-2370.3611929089,2045.1775007749,41
Spectral centroid,Timbral brightness,Kannada,F,desc,1276.01063775262,1192.78413492878,41
f0,Pitch height,Kannada,F,song,-1009.11727197818,385.365271891632,42
-|Δf0|,Pitch stability,Kannada,F,song,-2445.83075068425,2704.17855519959,42
Spectral centroid,Timbral brightness,Kannada,F,song,862.666201233995,802.707578544105,42
f0,Pitch height,Kannada,F,desc,-1379.92435629545,464.169703460085,42
-|Δf0|,Pitch stability,Kannada,F,desc,-2227.97029903988,2739.87444477558,42
Spectral centroid,Timbral brightness,Kannada,F,desc,978.655878194359,584.463648577799,42
f0,Pitch height,Kannada,F,song,-857.081523185917,254.646077601112,43
-|Δf0|,Pitch stability,Kannada,F,song,-1741.78325583256,1807.84170092208,43
Spectral centroid,Timbral brightness,Kannada,F,song,884.965439164384,898.107758387034,43
