feature,experiment,datalang,sex,type_m,type_l,annotator,annotatorlang,p,tau
Sign of f0 slope,With texts,Yoruba,f,song,recit,Florence,Yoruba,0.333333333333333,0.166666666666667
IOI rate,With texts,Yoruba,f,song,recit,Patrick,English,0.480952380952381,0.0978225460066361
f0 ratio,With texts,Yoruba,f,song,recit,Patrick,English,0.348002547866937,0.00160538153413651
Sign of f0 slope,With texts,Yoruba,f,song,recit,Patrick,English,0.5,0
IOI rate,With texts,Yoruba,f,song,recit,Yuto,Japanese,0.563095238095238,0.0974500340172736
f0 ratio,With texts,Yoruba,f,song,recit,Yuto,Japanese,0.353573046007671,0.0017418414887289
Sign of f0 slope,With texts,Yoruba,f,song,recit,Yuto,Japanese,0.5,0
IOI rate,With texts,English,m,song,recit,Dhwani,Marathi,0.867521367521368,0.0500505016830794
f0 ratio,With texts,English,m,song,recit,Dhwani,Marathi,0.452848745525561,0.00156835524238769
Sign of f0 slope,With texts,English,m,song,recit,Dhwani,Marathi,0.5,0
IOI rate,With texts,English,m,song,recit,Shafagh,Farsi,0.782679738562091,0.0714473346403697
f0 ratio,With texts,English,m,song,recit,Shafagh,Farsi,0.375255807454033,0.00218365438090686
Sign of f0 slope,With texts,English,m,song,recit,Shafagh,Farsi,0.833333333333333,0.166666666666667
IOI rate,With texts,English,m,song,recit,Patrick,English,0.863363363363363,0.0481336120363394
f0 ratio,With texts,English,m,song,recit,Patrick,English,0.366119697113204,0.00204809838447964
Sign of f0 slope,With texts,English,m,song,recit,Patrick,English,0.5,0.288675134594813
IOI rate,With texts,English,m,song,recit,Yuto,Japanese,0.918918918918919,0.0364163856356193
f0 ratio,With texts,English,m,song,recit,Yuto,Japanese,0.396375038982865,0.00186588711109222
Sign of f0 slope,With texts,English,m,song,recit,Yuto,Japanese,0.5,0.288675134594813
IOI rate,With texts,Japanese,m,song,recit,Dhwani,Marathi,0.904347826086957,0.0508968125287153
f0 ratio,With texts,Japanese,m,song,recit,Dhwani,Marathi,0.651013219674779,0.00173657318832055
Sign of f0 slope,With texts,Japanese,m,song,recit,Dhwani,Marathi,1,0
IOI rate,With texts,Japanese,m,song,recit,Shafagh,Farsi,0.890196078431372,0.057222043222284
f0 ratio,With texts,Japanese,m,song,recit,Shafagh,Farsi,0.667269942390572,0.00189864561642918
Sign of f0 slope,With texts,Japanese,m,song,recit,Shafagh,Farsi,0.5,0.353553390593274
IOI rate,With texts,Japanese,m,song,recit,Patrick,English,0.946182728410513,0.0269092685296984
f0 ratio,With texts,Japanese,m,song,recit,Patrick,English,0.668674714554424,0.00181986986395856
Sign of f0 slope,With texts,Japanese,m,song,recit,Patrick,English,0.666666666666667,0.166666666666667
IOI rate,With texts,Japanese,m,song,recit,Yuto,Japanese,0.949311639549437,0.0261321300079314
f0 ratio,With texts,Japanese,m,song,recit,Yuto,Japanese,0.677150226976154,0.00186517546898834
Sign of f0 slope,With texts,Japanese,m,song,recit,Yuto,Japanese,0.416666666666667,0.300462606288666
IOI rate,With texts,Marathi,m,inst,desc,Dhwani,Marathi,0.680952380952381,0.0833002265603825
f0 ratio,With texts,Marathi,m,inst,desc,Dhwani,Marathi,0.495072036556571,0.0020547160031503
Sign of f0 slope,With texts,Marathi,m,inst,desc,Dhwani,Marathi,0,0
IOI rate,With texts,Marathi,m,inst,desc,Shafagh,Farsi,0.567474048442907,0.0747235406951197
f0 ratio,With texts,Marathi,m,inst,desc,Shafagh,Farsi,0.337646259049207,0.00175005869147959
Sign of f0 slope,With texts,Marathi,m,inst,desc,Shafagh,Farsi,0.75,0.25
IOI rate,With texts,Marathi,m,inst,desc,Patrick,English,0.58265306122449,0.0846856944984341
f0 ratio,With texts,Marathi,m,inst,desc,Patrick,English,0.515454482663654,0.00196502404881825
Sign of f0 slope,With texts,Marathi,m,inst,desc,Patrick,English,0.5,0
IOI rate,With texts,Marathi,m,inst,desc,Yuto,Japanese,0.809340659340659,0.0722516252392229
f0 ratio,With texts,Marathi,m,inst,desc,Yuto,Japanese,0.527407134242348,0.00159639198983681
Sign of f0 slope,With texts,Marathi,m,inst,desc,Yuto,Japanese,0.25,0.144337567297406
