annotator,dataname_annot,dataname_ref,relpath_annot,relpath_ref,type,language,sex
Yuto,(excerpt) Parimal_Sadaphal_Marathi_Spiritual_Maajhe Maahera Pandhari_20220320_recit,(excerpt) Parimal_Sadaphal_Marathi_Spiritual_Maajhe Maahera Pandhari_20220320_recit,/Yuto/,/Dhwani/,recit,Marathi,M
Yuto,(excerpt) Shafagh_Hadavi_Farsi_Iran_Traditional_YekHamoomi_20220430_song,(excerpt) Shafagh_Hadavi_Farsi_Iran_Traditional_YekHamoomi_20220430_song,/Yuto/,/Shafagh/,song,Farsi,F
Yuto,(excerpt) Shafagh_Hadavi_Farsi_Iran_Traditional_YekHamoomi_20220507_inst,(excerpt) Shafagh_Hadavi_Farsi_Iran_Traditional_YekHamoomi_20220507_inst,/Yuto/,/Shafagh/,inst,Farsi,F
Yuto,(excerpt) Shafagh_Hadavi_Farsi_Iran_Traditional_YekHamoomi_20220502_desc,(excerpt) Shafagh_Hadavi_Farsi_Iran_Traditional_YekHamoomi_20220502_desc,/Yuto/,/Shafagh/,desc,Farsi,F
Yuto,(excerpt) Shafagh_Hadavi_Farsi_Iran_Traditional_YekHamoomi_20220430_recit,(excerpt) Shafagh_Hadavi_Farsi_Iran_Traditional_YekHamoomi_20220430_recit,/Yuto/,/Shafagh/,recit,Farsi,F
Patrick,(excerpt) Yuto_Ozaki_Japanese_Japanese_Traditional_Asatoya-Yunta_20220209_song,(excerpt) Yuto_Ozaki_Japanese_Japanese_Traditional_Asatoya-Yunta_20220209_song,/Patrick/,/Yuto/,song,Japanese,M
Patrick,(excerpt) Yuto_Ozaki_Japanese_Japanese_Traditional_Asatoya-Yunta_20220224_inst,(excerpt) Yuto_Ozaki_Japanese_Japanese_Traditional_Asatoya-Yunta_20220224_inst,/Patrick/,/Yuto/,inst,Japanese,M
Patrick,(excerpt) Yuto_Ozaki_Japanese_Japanese_Traditional_Asatoya-Yunta_20220209_desc,(excerpt) Yuto_Ozaki_Japanese_Japanese_Traditional_Asatoya-Yunta_20220209_desc,/Patrick/,/Yuto/,desc,Japanese,M
Patrick,(excerpt) Yuto_Ozaki_Japanese_Japanese_Traditional_Asatoya-Yunta_20220209_recit,(excerpt) Yuto_Ozaki_Japanese_Japanese_Traditional_Asatoya-Yunta_20220209_recit,/Patrick/,/Yuto/,recit,Japanese,M
Patrick,(excerpt) Florence_Nweke_Yoruba_Yoruba_Traditional_Ise-Agbe_20220504_song,(excerpt) Florence_Nweke_Yoruba_Yoruba_Traditional_Ise-Agbe_20220504_song,/Patrick/,/Florence/,song,Yoruba,F
Patrick,(excerpt) Florence_Nweke_Yoruba_Yoruba_Traditional_Ise-Agbe_20220504_inst,(excerpt) Florence_Nweke_Yoruba_Yoruba_Traditional_Ise-Agbe_20220504_inst,/Patrick/,/Florence/,inst,Yoruba,F
Patrick,(excerpt) Florence_Nweke_Yoruba_Yoruba_Traditional_Ise-Agbe_20220504_desc,(excerpt) Florence_Nweke_Yoruba_Yoruba_Traditional_Ise-Agbe_20220504_desc,/Patrick/,/Florence/,desc,Yoruba,F
Patrick,(excerpt) Florence_Nweke_Yoruba_Yoruba_Traditional_Ise-Agbe_20220504_recit,(excerpt) Florence_Nweke_Yoruba_Yoruba_Traditional_Ise-Agbe_20220504_recit,/Patrick/,/Florence/,recit,Yoruba,F
Patrick,(excerpt) Parimal_Sadaphal_Marathi_Spiritual_Maajhe Maahera Pandhari_20220320_song,(excerpt) Parimal_Sadaphal_Marathi_Spiritual_Maajhe Maahera Pandhari_20220320_song,/Patrick/,/Dhwani/,song,Marathi,M
Patrick,(excerpt) Parimal_Sadaphal_Marathi_Spiritual_Maajhe Maahera Pandhari_20220320_inst,(excerpt) Parimal_Sadaphal_Marathi_Spiritual_Maajhe Maahera Pandhari_20220320_inst,/Patrick/,/Dhwani/,inst,Marathi,M
Patrick,(excerpt) Parimal_Sadaphal_Marathi_Spiritual_Maajhe Maahera Pandhari_20220430_desc,(excerpt) Parimal_Sadaphal_Marathi_Spiritual_Maajhe Maahera Pandhari_20220430_desc,/Patrick/,/Dhwani/,desc,Marathi,M
Patrick,(excerpt) Parimal_Sadaphal_Marathi_Spiritual_Maajhe Maahera Pandhari_20220320_recit,(excerpt) Parimal_Sadaphal_Marathi_Spiritual_Maajhe Maahera Pandhari_20220320_recit,/Patrick/,/Dhwani/,recit,Marathi,M
Patrick,(excerpt) Shafagh_Hadavi_Farsi_Iran_Traditional_YekHamoomi_20220430_song,(excerpt) Shafagh_Hadavi_Farsi_Iran_Traditional_YekHamoomi_20220430_song,/Patrick/,/Shafagh/,song,Farsi,F
Patrick,(excerpt) Shafagh_Hadavi_Farsi_Iran_Traditional_YekHamoomi_20220507_inst,(excerpt) Shafagh_Hadavi_Farsi_Iran_Traditional_YekHamoomi_20220507_inst,/Patrick/,/Shafagh/,inst,Farsi,F
Patrick,(excerpt) Shafagh_Hadavi_Farsi_Iran_Traditional_YekHamoomi_20220502_desc,(excerpt) Shafagh_Hadavi_Farsi_Iran_Traditional_YekHamoomi_20220502_desc,/Patrick/,/Shafagh/,desc,Farsi,F
Patrick,(excerpt) Shafagh_Hadavi_Farsi_Iran_Traditional_YekHamoomi_20220430_recit,(excerpt) Shafagh_Hadavi_Farsi_Iran_Traditional_YekHamoomi_20220430_recit,/Patrick/,/Shafagh/,recit,Farsi,F
Dhwani,(excerpt) Yuto_Ozaki_Japanese_Japanese_Traditional_Asatoya-Yunta_20220209_song,(excerpt) Yuto_Ozaki_Japanese_Japanese_Traditional_Asatoya-Yunta_20220209_song,/Dhwani/,/Yuto/,song,Japanese,M
Dhwani,(excerpt) Yuto_Ozaki_Japanese_Japanese_Traditional_Asatoya-Yunta_20220224_inst,(excerpt) Yuto_Ozaki_Japanese_Japanese_Traditional_Asatoya-Yunta_20220224_inst,/Dhwani/,/Yuto/,inst,Japanese,M
Dhwani,(excerpt) Yuto_Ozaki_Japanese_Japanese_Traditional_Asatoya-Yunta_20220209_desc,(excerpt) Yuto_Ozaki_Japanese_Japanese_Traditional_Asatoya-Yunta_20220209_desc,/Dhwani/,/Yuto/,desc,Japanese,M
Dhwani,(excerpt) Yuto_Ozaki_Japanese_Japanese_Traditional_Asatoya-Yunta_20220209_recit,(excerpt) Yuto_Ozaki_Japanese_Japanese_Traditional_Asatoya-Yunta_20220209_recit,/Dhwani/,/Yuto/,recit,Japanese,M
Dhwani,(excerpt) Florence_Nweke_Yoruba_Yoruba_Traditional_Ise-Agbe_20220504_song,(excerpt) Florence_Nweke_Yoruba_Yoruba_Traditional_Ise-Agbe_20220504_song,/Dhwani/,/Florence/,song,Yoruba,F
Dhwani,(excerpt) Florence_Nweke_Yoruba_Yoruba_Traditional_Ise-Agbe_20220504_inst,(excerpt) Florence_Nweke_Yoruba_Yoruba_Traditional_Ise-Agbe_20220504_inst,/Dhwani/,/Florence/,inst,Yoruba,F
Dhwani,(excerpt) Florence_Nweke_Yoruba_Yoruba_Traditional_Ise-Agbe_20220504_desc,(excerpt) Florence_Nweke_Yoruba_Yoruba_Traditional_Ise-Agbe_20220504_desc,/Dhwani/,/Florence/,desc,Yoruba,F
Dhwani,(excerpt) Florence_Nweke_Yoruba_Yoruba_Traditional_Ise-Agbe_20220504_recit,(excerpt) Florence_Nweke_Yoruba_Yoruba_Traditional_Ise-Agbe_20220504_recit,/Dhwani/,/Florence/,recit,Yoruba,F
Dhwani,(excerpt) John_McBride_English_Irish_Anthem_FieldsOfAthenry_20220219_song,(excerpt) John_McBride_English_Irish_Anthem_FieldsOfAthenry_20220219_song,/Dhwani/,/Patrick/,song,English,M
Dhwani,(excerpt) John_McBride_English_Irish_Anthem_FieldsOfAthenry_20220219_inst,(excerpt) John_McBride_English_Irish_Anthem_FieldsOfAthenry_20220219_inst,/Dhwani/,/Patrick/,inst,English,M
Dhwani,(excerpt) John_McBride_English_Irish_Anthem_FieldsOfAthenry_20220219_desc,(excerpt) John_McBride_English_Irish_Anthem_FieldsOfAthenry_20220219_desc,/Dhwani/,/Patrick/,desc,English,M
Dhwani,(excerpt) John_McBride_English_Irish_Anthem_FieldsOfAthenry_20220219_recit,(excerpt) John_McBride_English_Irish_Anthem_FieldsOfAthenry_20220219_recit,/Dhwani/,/Patrick/,recit,English,M
Dhwani,(excerpt) Shafagh_Hadavi_Farsi_Iran_Traditional_YekHamoomi_20220430_song,(excerpt) Shafagh_Hadavi_Farsi_Iran_Traditional_YekHamoomi_20220430_song,/Dhwani/,/Shafagh/,song,Farsi,F
Dhwani,(excerpt) Shafagh_Hadavi_Farsi_Iran_Traditional_YekHamoomi_20220507_inst,(excerpt) Shafagh_Hadavi_Farsi_Iran_Traditional_YekHamoomi_20220507_inst,/Dhwani/,/Shafagh/,inst,Farsi,F
Dhwani,(excerpt) Shafagh_Hadavi_Farsi_Iran_Traditional_YekHamoomi_20220502_desc,(excerpt) Shafagh_Hadavi_Farsi_Iran_Traditional_YekHamoomi_20220502_desc,/Dhwani/,/Shafagh/,desc,Farsi,F
Dhwani,(excerpt) Shafagh_Hadavi_Farsi_Iran_Traditional_YekHamoomi_20220430_recit,(excerpt) Shafagh_Hadavi_Farsi_Iran_Traditional_YekHamoomi_20220430_recit,/Dhwani/,/Shafagh/,recit,Farsi,F
Shafagh,(excerpt) Yuto_Ozaki_Japanese_Japanese_Traditional_Asatoya-Yunta_20220209_song,(excerpt) Yuto_Ozaki_Japanese_Japanese_Traditional_Asatoya-Yunta_20220209_song,/Shafagh/,/Yuto/,song,Japanese,M
Shafagh,(excerpt) Yuto_Ozaki_Japanese_Japanese_Traditional_Asatoya-Yunta_20220224_inst,(excerpt) Yuto_Ozaki_Japanese_Japanese_Traditional_Asatoya-Yunta_20220224_inst,/Shafagh/,/Yuto/,inst,Japanese,M
Shafagh,(excerpt) Yuto_Ozaki_Japanese_Japanese_Traditional_Asatoya-Yunta_20220209_desc,(excerpt) Yuto_Ozaki_Japanese_Japanese_Traditional_Asatoya-Yunta_20220209_desc,/Shafagh/,/Yuto/,desc,Japanese,M
Shafagh,(excerpt) Yuto_Ozaki_Japanese_Japanese_Traditional_Asatoya-Yunta_20220209_recit,(excerpt) Yuto_Ozaki_Japanese_Japanese_Traditional_Asatoya-Yunta_20220209_recit,/Shafagh/,/Yuto/,recit,Japanese,M
Shafagh,(excerpt) Florence_Nweke_Yoruba_Yoruba_Traditional_Ise-Agbe_20220504_song,(excerpt) Florence_Nweke_Yoruba_Yoruba_Traditional_Ise-Agbe_20220504_song,/Shafagh/,/Florence/,song,Yoruba,F
Shafagh,(excerpt) Florence_Nweke_Yoruba_Yoruba_Traditional_Ise-Agbe_20220504_inst,(excerpt) Florence_Nweke_Yoruba_Yoruba_Traditional_Ise-Agbe_20220504_inst,/Shafagh/,/Florence/,inst,Yoruba,F
Shafagh,(excerpt) Florence_Nweke_Yoruba_Yoruba_Traditional_Ise-Agbe_20220504_desc,(excerpt) Florence_Nweke_Yoruba_Yoruba_Traditional_Ise-Agbe_20220504_desc,/Shafagh/,/Florence/,desc,Yoruba,F
Shafagh,(excerpt) Florence_Nweke_Yoruba_Yoruba_Traditional_Ise-Agbe_20220504_recit,(excerpt) Florence_Nweke_Yoruba_Yoruba_Traditional_Ise-Agbe_20220504_recit,/Shafagh/,/Florence/,recit,Yoruba,F
Shafagh,(excerpt) John_McBride_English_Irish_Anthem_FieldsOfAthenry_20220219_song,(excerpt) John_McBride_English_Irish_Anthem_FieldsOfAthenry_20220219_song,/Shafagh/,/Patrick/,song,English,M
Shafagh,(excerpt) John_McBride_English_Irish_Anthem_FieldsOfAthenry_20220219_inst,(excerpt) John_McBride_English_Irish_Anthem_FieldsOfAthenry_20220219_inst,/Shafagh/,/Patrick/,inst,English,M
Shafagh,(excerpt) John_McBride_English_Irish_Anthem_FieldsOfAthenry_20220219_desc,(excerpt) John_McBride_English_Irish_Anthem_FieldsOfAthenry_20220219_desc,/Shafagh/,/Patrick/,desc,English,M
Shafagh,(excerpt) John_McBride_English_Irish_Anthem_FieldsOfAthenry_20220219_recit,(excerpt) John_McBride_English_Irish_Anthem_FieldsOfAthenry_20220219_recit,/Shafagh/,/Patrick/,recit,English,M
Shafagh,(excerpt) Parimal_Sadaphal_Marathi_Spiritual_Maajhe Maahera Pandhari_20220320_song,(excerpt) Parimal_Sadaphal_Marathi_Spiritual_Maajhe Maahera Pandhari_20220320_song,/Shafagh/,/Dhwani/,song,Marathi,M
Shafagh,(excerpt) Parimal_Sadaphal_Marathi_Spiritual_Maajhe Maahera Pandhari_20220320_inst,(excerpt) Parimal_Sadaphal_Marathi_Spiritual_Maajhe Maahera Pandhari_20220320_inst,/Shafagh/,/Dhwani/,inst,Marathi,M
Shafagh,(excerpt) Parimal_Sadaphal_Marathi_Spiritual_Maajhe Maahera Pandhari_20220430_desc,(excerpt) Parimal_Sadaphal_Marathi_Spiritual_Maajhe Maahera Pandhari_20220430_desc,/Shafagh/,/Dhwani/,desc,Marathi,M
Shafagh,(excerpt) Parimal_Sadaphal_Marathi_Spiritual_Maajhe Maahera Pandhari_20220320_recit,(excerpt) Parimal_Sadaphal_Marathi_Spiritual_Maajhe Maahera Pandhari_20220320_recit,/Shafagh/,/Dhwani/,recit,Marathi,M
