feature,lang,diff,stderr,ci95_l,ci95_u,method,groupid
Spectral centroid,Dutch,0.541672891834822,0.00677586431374374,0.52838978667866,0.554955996990984,common language effect size,26
f0,Spanish,0.905957438694837,0.005679060843291,0.894822070360758,0.917092807028917,common language effect size,27
-|Δf0|,Spanish,0.610990641504986,0.010266448289094,0.590859797581555,0.631121485428417,common language effect size,27
Spectral centroid,Spanish,0.686247721207834,0.00547383713565879,0.675517392906025,0.696978049509643,common language effect size,27
f0,Punjabi,0.960572407780417,0.00369047987578286,0.953335509430783,0.967809306130051,common language effect size,28
-|Δf0|,Punjabi,0.567662568018519,0.0114258622206532,0.545255771564384,0.590069364472655,common language effect size,28
Spectral centroid,Punjabi,0.410348526169271,0.0061108398113433,0.398369807291974,0.422327245046568,common language effect size,28
f0,HainanHua,0.931882268041113,0.00533666887377508,0.921415470679066,0.94234906540316,common language effect size,29
-|Δf0|,HainanHua,0.735129575092885,0.00970076066362033,0.716107657661842,0.754151492523927,common language effect size,29
Spectral centroid,HainanHua,0.707085907925046,0.00685636073453409,0.693643844866465,0.720527970983627,common language effect size,29
f0,Williche,0.911651395949183,0.00599237488994511,0.899894139264348,0.923408652634018,common language effect size,30
-|Δf0|,Williche,0.753426162910236,0.00835505167903011,0.737041974629259,0.769810351191213,common language effect size,30
Spectral centroid,Williche,0.61994102060735,0.0057991741616097,0.608572498387802,0.631309542826898,common language effect size,30
f0,Euskara,0.914234475981997,0.00460889419747321,0.905197672546042,0.923271279417953,common language effect size,31
-|Δf0|,Euskara,0.675670735072293,0.00923712695737526,0.657559679815139,0.693781790329447,common language effect size,31
Spectral centroid,Euskara,0.511519583599479,0.00533497352589088,0.501062089834836,0.521977077364123,common language effect size,31
f0,Danish,0.919570098886987,0.00536395658886911,0.909051276195474,0.9300889215785,common language effect size,32
-|Δf0|,Danish,0.636681366282884,0.0113854062100127,0.614354651265529,0.659008081300239,common language effect size,32
Spectral centroid,Danish,0.381842573945655,0.00637534350217948,0.369345160321955,0.394339987569355,common language effect size,32
f0,Hebrew,0.955224322201189,0.00234402649973607,0.950628232916609,0.95982041148577,common language effect size,33
-|Δf0|,Hebrew,0.66681327801552,0.00841586752053218,0.650305296942199,0.683321259088842,common language effect size,33
Spectral centroid,Hebrew,0.274673916900722,0.00363729220460836,0.267544007409166,0.281803826392279,common language effect size,33
f0,IsiXhosa,0.96747386549588,0.00351990545938365,0.960569336812124,0.974378394179635,common language effect size,34
-|Δf0|,IsiXhosa,0.733434450061364,0.0115479386672422,0.710781865868769,0.756087034253959,common language effect size,34
Spectral centroid,IsiXhosa,0.713250535792541,0.0066100964078385,0.70029247320514,0.726208598379943,common language effect size,34
f0,Turkish,0.890469546873488,0.00652751366668681,0.877668079854282,0.903271013892694,common language effect size,35
-|Δf0|,Turkish,0.737387407338146,0.0103886910314122,0.717014719037368,0.757760095638924,common language effect size,35
Spectral centroid,Turkish,0.38134815816951,0.0066457633224142,0.368320264928235,0.394376051410785,common language effect size,35
f0,Ukrainian,0.743185102279952,0.0113062908135779,0.721009295070382,0.765360909489523,common language effect size,36
-|Δf0|,Ukrainian,0.670366925716327,0.0121175565912967,0.646601194480513,0.694132656952142,common language effect size,36
Spectral centroid,Ukrainian,0.3409562357983,0.00697776676165184,0.327277303105568,0.354635168491033,common language effect size,36
f0,Marathi,0.810458986618677,0.0105770180441078,0.789707635085118,0.831210338152236,common language effect size,37
-|Δf0|,Marathi,0.820920405157976,0.00888916334165986,0.803485038440728,0.838355771875223,common language effect size,37
Spectral centroid,Marathi,0.650566315516483,0.00605298235337881,0.638700653985829,0.662431977047137,common language effect size,37
f0,English,0.949029172797646,0.00482560331828418,0.939565126948263,0.958493218647028,common language effect size,38
-|Δf0|,English,0.729197748064743,0.0100217689493129,0.709545646426506,0.74884984970298,common language effect size,38
Spectral centroid,English,0.604526641489193,0.00614862981009166,0.59247358857218,0.616579694406207,common language effect size,38
f0,French,0.868166874201745,0.00755174044519907,0.853352880205956,0.882980868197535,common language effect size,39
-|Δf0|,French,0.699068091948261,0.00990239545952941,0.679650422333773,0.718485761562749,common language effect size,39
Spectral centroid,French,0.575327915782472,0.00687021949527294,0.561859275704604,0.58879655586034,common language effect size,39
f0,English,0.957739858065354,0.00366966167794098,0.950544990796543,0.964934725334164,common language effect size,40
-|Δf0|,English,0.771038615013509,0.00798749869034756,0.755378059172593,0.786699170854425,common language effect size,40
Spectral centroid,English,0.778968428583837,0.00446098605676648,0.77022411528854,0.787712741879133,common language effect size,40
f0,Azerbaijani,0.736771903574787,0.00965659517771239,0.717836549678052,0.755707257471522,common language effect size,41
-|Δf0|,Azerbaijani,0.714002950260669,0.0101428957332319,0.694112292041557,0.733893608479781,common language effect size,41
Spectral centroid,Azerbaijani,0.369600703981505,0.00622469724930895,0.357398647986864,0.381802759976146,common language effect size,41
f0,Russian,0.987230665449784,0.00314199089707059,0.981066178365903,0.993395152533664,common language effect size,42
-|Δf0|,Russian,0.787746140081365,0.00792533697724452,0.772205684858793,0.803286595303936,common language effect size,42
Spectral centroid,Russian,0.67747780847789,0.00613790904271122,0.665445182716882,0.689510434238898,common language effect size,42
f0,Urdu,0.850443693426618,0.00980811171671568,0.831202611861504,0.869684774991731,common language effect size,43
-|Δf0|,Urdu,0.579858887703071,0.015638486592185,0.549172686928047,0.610545088478095,common language effect size,43
Spectral centroid,Urdu,0.40764623893968,0.00697334288011737,0.393976202860796,0.421316275018565,common language effect size,43
f0,Lithuanian,0.902180287392059,0.00723317761507902,0.887988166206388,0.916372408577729,common language effect size,44
-|Δf0|,Lithuanian,0.64844817134249,0.0103072876565873,0.628235911782722,0.668660430902258,common language effect size,44
