feature,name,lang,sex,type,mean,std,groupid
f0,Pitch height,Yoruba,F,recit,-1286.17898145422,345.851998948199,13
f0,Pitch height,Yoruba,F,song,-1184.52316076294,439.136069327783,13
f0,Pitch height,Japanese,M,desc,-2521.47859922179,419.180157815873,14
f0,Pitch height,Japanese,M,recit,-2706.74285714286,297.036026953996,14
f0,Pitch height,Japanese,M,song,-1701.96222664016,442.601748729417,14
f0,Pitch height,Japanese,M,inst,-394.353017802866,394.406169163565,14
f0,Pitch height,Thai,M,desc,-2546.25846153846,273.21355329486,15
f0,Pitch height,Thai,M,inst,965.003727171077,446.066154248003,15
f0,Pitch height,Thai,M,recit,-2497.68181818182,346.42113203242,15
f0,Pitch height,Thai,M,song,-1495.85613598673,424.961235235776,15
f0,Pitch height,Spanish,M,desc,-2144.59886291851,383.509626563602,16
f0,Pitch height,Spanish,M,recit,-2237.42512640996,382.327987993865,16
f0,Pitch height,Spanish,M,song,-1725.04363392258,423.909237091758,16
f0,Pitch height,Balinese,M,desc,-2018.24193548387,261.14336896112,17
f0,Pitch height,Balinese,M,inst,129.123320702721,411.704307917749,17
f0,Pitch height,Balinese,M,recit,-2078.418230563,282.016337054708,17
f0,Pitch height,Balinese,M,song,-1049.28790669122,405.241881831931,17
f0,Pitch height,Chilean,M,desc,-2145.30966469428,405.615151480054,18
f0,Pitch height,Chilean,M,inst,-1866.39991598404,218.79468069977,18
f0,Pitch height,Chilean,M,recit,-2245.72580645161,365.037911129786,18
f0,Pitch height,Chilean,M,song,-1857.27611072342,228.344438738468,18
f0,Pitch height,English,M,desc,-2420.97789887981,311.961488224519,19
f0,Pitch height,English,M,inst,767.197932371312,371.173089727328,19
f0,Pitch height,English,M,recit,-2139.22059349303,322.104078700768,19
f0,Pitch height,English,M,song,-1786.17269544924,386.259816927745,19
f0,Pitch height,Spanish,M,recit,-2579.89863547758,174.892627685921,62
f0,Pitch height,Spanish,M,song,-2010.38329026701,333.469778222867,62
f0,Pitch height,Spanish,M,desc,-2529.35003170577,167.197348184027,62
f0,Pitch height,Spanish,M,inst,-2031.24070751089,372.088628460553,62
f0,Pitch height,Dutch,F,desc,-992.983818770227,328.013774588051,63
f0,Pitch height,Dutch,F,recit,-991.557008581937,315.43605543501,63
f0,Pitch height,Dutch,F,song,-877.557344064386,302.763222456378,63
f0,Pitch height,Wolof,M,desc,-3098.6396011396,259.719233510348,20
f0,Pitch height,Wolof,M,recit,-3077.6936026936,244.774955033177,20
f0,Pitch height,Wolof,M,song,-1143.87488748875,294.103686250889,20
f0,Pitch height,Hebrew,F,desc,-1574.50528071151,267.940315409117,21
f0,Pitch height,Hebrew,F,recit,-1628.27268925136,260.934085046716,21
f0,Pitch height,Hebrew,F,song,-827.020291133657,307.740441216631,21
f0,Pitch height,Catalan,M,desc,-2396.67723342939,178.788714923143,22
f0,Pitch height,Catalan,M,inst,255.053167922021,294.259667438755,22
f0,Pitch height,Catalan,M,recit,-2586.03290676417,276.315560836495,22
f0,Pitch height,Catalan,M,song,-1974.00611620795,340.943078168216,22
f0,Pitch height,Portuguese,M,desc,-2461.60184574819,184.697840078852,23
f0,Pitch height,Portuguese,M,inst,410.620172648796,342.576085959547,23
f0,Pitch height,Portuguese,M,recit,-2435.13786146604,239.685221785043,23
f0,Pitch height,Portuguese,M,song,-2233.61117172158,319.567081909646,23
f0,Pitch height,Amamidialect,F,desc,-1358.73154108292,134.373195072625,24
f0,Pitch height,Amamidialect,F,inst,-314.087804878049,424.087410030913,24
f0,Pitch height,Amamidialect,F,recit,-1452.60257913247,110.140873698496,24
f0,Pitch height,Amamidialect,F,song,-297.809278350515,456.562454372203,24
f0,Pitch height,Swahili,M,desc,-2122.80991735537,266.923250628791,25
f0,Pitch height,Swahili,M,recit,-2288.97567820393,219.113644715581,25
f0,Pitch height,Swahili,M,song,-2180.65772669221,285.998234109361,25
f0,Pitch height,Dutch,M,desc,-2218.28988941548,303.04466801186,26
f0,Pitch height,Dutch,M,inst,-143.486130238048,329.982059120248,26
f0,Pitch height,Dutch,M,recit,-2351.79964850615,247.416031444832,26
f0,Pitch height,Dutch,M,song,-1708.48750267037,361.988717394802,26
f0,Pitch height,Spanish,M,desc,-2545.56741915802,213.955934905493,27
f0,Pitch height,Spanish,M,inst,-1270.39877300613,293.796624338019,27
f0,Pitch height,Spanish,M,recit,-2438.72568745808,261.097956282737,27
f0,Pitch height,Spanish,M,song,-1962.59940492291,327.224537882303,27
f0,Pitch height,Punjabi,F,desc,-1276.83565838721,243.597366987412,28
f0,Pitch height,Punjabi,F,inst,-1638.4745409015,349.902973966448,28
f0,Pitch height,Punjabi,F,recit,-1417.68427712749,172.721742370563,28
f0,Pitch height,Punjabi,F,song,-512.64505893019,339.021901215883,28
f0,Pitch height,HainanHua,F,desc,-1137.69474969475,270.166786332091,29
f0,Pitch height,HainanHua,F,recit,-1134.49367088608,341.950551634107,29
f0,Pitch height,HainanHua,F,song,-453.024582104228,362.212441067464,29
f0,Pitch height,HainanHua,F,inst,164.385435526051,368.467378140355,29
f0,Pitch height,Williche,F,desc,-1601.58195679797,265.862221160395,30
f0,Pitch height,Williche,F,recit,-1533.36198006188,264.915781584505,30
f0,Pitch height,Williche,F,song,-881.057327682356,330.820039174215,30
f0,Pitch height,Euskara,F,desc,-1354.13645224172,244.338557799423,31
f0,Pitch height,Euskara,F,inst,-445.682102628285,372.892511685478,31
f0,Pitch height,Euskara,F,recit,-1092.95556986478,270.891205211195,31
f0,Pitch height,Euskara,F,song,-900.640989597976,299.200537006958,31
f0,Pitch height,Danish,M,desc,-2305.9202175884,225.847137563842,32
f0,Pitch height,Danish,M,inst,-1608.19085075554,350.416784684664,32
f0,Pitch height,Danish,M,recit,-2275.4309252218,285.707253549922,32
f0,Pitch height,Danish,M,song,-1683.9310515873,365.280667393997,32
f0,Pitch height,Hebrew,M,desc,-2675.40208136235,177.552553508802,33
f0,Pitch height,Hebrew,M,inst,2133.41059602649,366.052204102608,33
f0,Pitch height,Hebrew,M,recit,-2681.04431768319,219.943238870415,33
f0,Pitch height,Hebrew,M,song,-2144.06286379511,362.93106423759,33
f0,Pitch height,IsiXhosa,F,desc,-1633.59918793503,380.30229150075,34
f0,Pitch height,IsiXhosa,F,inst,-721.427203065134,267.174927052381,34
f0,Pitch height,IsiXhosa,F,recit,-1834.4538606403,413.367493121685,34
f0,Pitch height,IsiXhosa,F,song,-593.656470588235,331.692415386333,34
f0,Pitch height,Turkish,F,desc,-1284.4064602961,338.167702962787,35
f0,Pitch height,Turkish,F,recit,-1462.63527758257,279.406918735088,35
f0,Pitch height,Turkish,F,song,-623.497253465865,346.155888196055,35
f0,Pitch height,Ukrainian,F,desc,-1329.54476936991,273.965326604423,36
f0,Pitch height,Ukrainian,F,inst,-62.6347429519073,258.324885178576,36
f0,Pitch height,Ukrainian,F,recit,-1322.3935799023,198.716710470474,36
f0,Pitch height,Ukrainian,F,song,-1049.77328295177,276.981349586594,36
f0,Pitch height,Marathi,M,desc,-2296.94117647059,234.476024978687,37
f0,Pitch height,Marathi,M,inst,-779.889423934368,80.9287987546018,37
f0,Pitch height,Marathi,M,recit,-2206.57516757102,286.456168566136,37
f0,Pitch height,Marathi,M,song,-1991.39443277311,136.059304621335,37
f0,Pitch height,English,M,desc,-2486.84450684451,236.946229111914,38
f0,Pitch height,English,M,recit,-2510.69124423963,183.285652856885,38
f0,Pitch height,English,M,song,-1663.39786041773,467.958534975662,38
f0,Pitch height,English,M,inst,-533.870967741935,452.040201738298,38
f0,Pitch height,French,F,desc,-1137.99825174825,344.430452958144,39
f0,Pitch height,French,F,inst,560.460782521766,201.389550256547,39
f0,Pitch height,French,F,recit,-1232.31820185104,317.056712068464,39
f0,Pitch height,French,F,song,-689.022757697456,209.267177422171,39
f0,Pitch height,English,M,desc,-2535.79211229947,289.857596952048,40
f0,Pitch height,English,M,inst,-137.817506838609,385.668439101734,40
f0,Pitch height,English,M,recit,-2512.25655976676,311.721765724175,40
f0,Pitch height,English,M,song,-1391.93752638244,405.631409672032,40
f0,Pitch height,Azerbaijani,F,desc,-1256.83134582624,316.587275377298,41
f0,Pitch height,Azerbaijani,F,inst,-360.733956948433,371.262578142976,41
f0,Pitch height,Azerbaijani,F,recit,-1398.25873697118,238.212131970322,41
f0,Pitch height,Azerbaijani,F,song,-856.494006849315,373.039891739456,41
f0,Pitch height,Russian,F,desc,-1351.51895043732,315.115733375671,42
f0,Pitch height,Russian,F,recit,-1234.81841763943,462.158339107755,42
f0,Pitch height,Russian,F,song,146.411530815109,286.205601756285,42
f0,Pitch height,Cantonese,F,song,-960.713522751549,444.081260570825,64
f0,Pitch height,Cantonese,F,desc,-1604.84070522734,265.870128863286,64
f0,Pitch height,Cantonese,F,inst,867.668179128033,432.699679915153,64
f0,Pitch height,Cantonese,F,recit,-1518.75288683603,298.440983612911,64
f0,Pitch height,Rikbaktsa,M,song,-2302.28400109022,165.238220742114,66
f0,Pitch height,Rikbaktsa,M,desc,-2355.46397694525,150.280402080435,66
f0,Pitch height,Rikbaktsa,M,recit,-2422.32548701299,176.05614826073,66
f0,Pitch height,Urdu,M,desc,-2415.16592541909,141.528028784451,43
f0,Pitch height,Urdu,M,inst,-571.64087391898,328.932033348761,43
f0,Pitch height,Urdu,M,recit,-2377.09321566464,100.375622481782,43
f0,Pitch height,Urdu,M,song,-1959.08360606962,338.737755668139,43
f0,Pitch height,Lithuanian,M,desc,-2586.50107991361,315.564320225609,44
f0,Pitch height,Lithuanian,M,inst,-564.730538922156,304.867045744232,44
f0,Pitch height,Lithuanian,M,recit,-2612.28649068323,336.11823657632,44
f0,Pitch height,Lithuanian,M,song,-1943.18825703141,256.264344064222,44
f0,Pitch height,Korean,M,desc,-1703.44989072744,317.527917449171,45
f0,Pitch height,Korean,M,inst,-1164.43315266486,356.094087488982,45
f0,Pitch height,Korean,M,recit,-1927.61485451761,290.085923788547,45
f0,Pitch height,Korean,M,song,-1205.28301886792,354.951376408773,45
f0,Pitch height,Farsi,F,desc,-1377.68254863265,142.668499590674,46
f0,Pitch height,Farsi,F,inst,422.112233445567,278.296192063645,46
f0,Pitch height,Farsi,F,recit,-1611.07393244105,112.797731761856,46
f0,Pitch height,Farsi,F,song,-722.32247730913,279.675567548223,46
f0,Pitch height,Persian,M,desc,-2517.14285714286,153.672671204653,47
f0,Pitch height,Persian,M,recit,-2516.88167625308,172.046543472225,47
f0,Pitch height,Persian,M,song,-1508.55497609735,293.16294107137,47
f0,Pitch height,Kannada,F,desc,-1338.05218446602,228.179504334997,48
f0,Pitch height,Kannada,F,recit,-1341.98212083847,246.958654279477,48
f0,Pitch height,Kannada,F,song,-817.751154099802,341.81389698624,48
f0,Pitch height,Japanese,M,desc,-2377.18869898849,317.668440801372,49
f0,Pitch height,Japanese,M,recit,-2437.71749755621,244.292142148884,49
f0,Pitch height,Japanese,M,song,-1787.32290926321,365.976052901438,49
f0,Pitch height,Burmese,F,song,-568.012906097018,291.903640645486,65
f0,Pitch height,Burmese,F,desc,-1417.32558139535,355.920574545955,65
f0,Pitch height,Burmese,F,recit,-1463.5178098322,251.054233117052,65
f0,Pitch height,Gaeilge,M,song,-1943.95531549227,242.496521285997,67
f0,Pitch height,Gaeilge,M,desc,-2333.17424727739,210.208577403329,67
f0,Pitch height,Gaeilge,M,inst,100.619318181818,235.565392502036,67
f0,Pitch height,Gaeilge,M,recit,-2264.12002945508,204.512803698833,67
f0,Pitch height,English,M,desc,-2596.76843467012,224.796743797604,50
f0,Pitch height,English,M,inst,-1900.21317416329,330.487972493502,50
f0,Pitch height,English,M,recit,-2496.19158878505,182.046468987446,50
f0,Pitch height,English,M,song,-1958.42127659574,346.818601495867,50
f0,Pitch height,Georgian,F,desc,-1545.95267745953,302.909546030514,51
f0,Pitch height,Georgian,F,inst,-681.910663568293,275.730838166707,51
f0,Pitch height,Georgian,F,recit,-1719.66856832382,267.746937857168,51
f0,Pitch height,Georgian,F,song,-759.191147669409,259.92395461394,51
f0,Pitch height,Puri,M,desc,-2592.85339455559,213.381547619801,52
f0,Pitch height,Puri,M,inst,319.788986103963,248.597314350627,52
f0,Pitch height,Puri,M,recit,-2624.68777876896,246.370196527974,52
f0,Pitch height,Puri,M,song,-1477.01691684537,226.181598057898,52
f0,Pitch height,Norwegian,F,desc,-1149.63844252163,280.119690126974,53
f0,Pitch height,Norwegian,F,recit,-1223.13036690086,284.666100779521,53
f0,Pitch height,Norwegian,F,song,-522.105747126437,319.879371720953,53
f0,Pitch height,Kuikuro,M,desc,-1905,140.440085878353,54
f0,Pitch height,Kuikuro,M,recit,-1936.98950766747,107.045318500735,54
f0,Pitch height,Kuikuro,M,song,-1664.83937291185,152.834718097883,54
f0,Pitch height,Ainu,F,desc,-1782.28127025275,273.079391458549,55
f0,Pitch height,Ainu,F,recit,-1963.10765349033,254.409273485263,55
f0,Pitch height,Ainu,F,song,-1327.22477619163,285.497505758826,55
f0,Pitch height,Slovenian,F,desc,-1501.63623344074,220.313841016404,56
f0,Pitch height,Slovenian,F,recit,-1431.44709326642,224.986650517322,56
f0,Pitch height,Slovenian,F,song,-790.55685662243,235.575435080651,56
f0,Pitch height,Portuguese,F,desc,-1248.42021614749,154.701053807164,57
f0,Pitch height,Portuguese,F,recit,-1145.17985611511,243.40757966114,57
f0,Pitch height,Portuguese,F,song,-483.413353338335,334.779428227774,57
f0,Pitch height,Polish,M,desc,-2261.53846153846,181.73133463204,58
f0,Pitch height,Polish,M,inst,-1780.39355144618,240.529978975614,58
f0,Pitch height,Polish,M,recit,-2038.49809885932,382.692245523678,58
f0,Pitch height,Polish,M,song,-2225.39551357733,224.032909571942,58
f0,Pitch height,DutchFlemish,M,desc,-2002.77633289987,241.341164664542,59
f0,Pitch height,DutchFlemish,M,inst,-295.557800224467,302.306501204503,59
f0,Pitch height,DutchFlemish,M,recit,-2036.51070003627,319.850763989027,59
f0,Pitch height,DutchFlemish,M,song,-1592.2700814901,291.08799917945,59
f0,Pitch height,Japanese,M,desc,-2494.98001844451,223.349160254952,60
f0,Pitch height,Japanese,M,inst,-354.022476675148,367.725920809366,60
f0,Pitch height,Japanese,M,recit,-2476.88113413304,148.246225176433,60
f0,Pitch height,Japanese,M,song,-1560.40324301259,412.432934801095,60
IOI rate,Temporal rate,English,M,desc,6.66813540829654,6.14613544548262,1
IOI rate,Temporal rate,English,M,inst,3.22734255885757,1.17807539634003,1
IOI rate,Temporal rate,English,M,recit,5.34990804328319,2.88968570573224,1
IOI rate,Temporal rate,English,M,song,2.81015033014161,0.937239646660748,1
IOI rate,Temporal rate,Macedonian,M,desc,7.48809318550797,4.49042766740277,2
IOI rate,Temporal rate,Macedonian,M,inst,4.84165459109015,3.35583759736172,2
IOI rate,Temporal rate,Macedonian,M,recit,4.87511809774657,2.06050454852386,2
IOI rate,Temporal rate,Macedonian,M,song,2.11198286452739,1.08369361609594,2
IOI rate,Temporal rate,Italian,M,desc,6.2271735193094,3.68748288496527,3
IOI rate,Temporal rate,Italian,M,inst,2.79605340372187,1.21699525812106,3
IOI rate,Temporal rate,Italian,M,recit,4.71283714180818,2.38333837151233,3
IOI rate,Temporal rate,Italian,M,song,3.04213481519771,1.39349462229605,3
IOI rate,Temporal rate,Guarani,F,inst,3.08698959598025,1.17126682044501,61
IOI rate,Temporal rate,Guarani,F,recit,5.20598482709026,2.1442241561287,61
IOI rate,Temporal rate,Guarani,F,song,2.66250698259626,2.74173733784327,61
IOI rate,Temporal rate,Guarani,F,desc,6.40074047724566,3.95031451758063,61
IOI rate,Temporal rate,Portuguese,F,desc,7.30164913343182,4.31995816517056,4
IOI rate,Temporal rate,Portuguese,F,inst,3.22347994568736,0.776700591312237,4
IOI rate,Temporal rate,Portuguese,F,recit,6.16908726519555,2.76273098250035,4
IOI rate,Temporal rate,Portuguese,F,song,2.82487098890367,0.873945550181921,4
IOI rate,Temporal rate,English,F,desc,5.19422532131109,3.13759840334399,5
IOI rate,Temporal rate,English,F,inst,1.01038034503648,0.266441071464799,5
IOI rate,Temporal rate,English,F,recit,2.78720264886272,1.50453284157484,5
IOI rate,Temporal rate,English,F,song,1.10485586538204,0.248304854993027,5
IOI rate,Temporal rate,Ronga,M,desc,6.91490784215215,3.86795036434785,6
IOI rate,Temporal rate,Ronga,M,recit,6.92405182845479,3.36191040313575,6
IOI rate,Temporal rate,Ronga,M,song,4.28868237167745,1.9684916099493,6
IOI rate,Temporal rate,Ronga,M,inst,3.34468915625196,1.69469721673877,6
IOI rate,Temporal rate,Swedish,M,desc,4.05871065028906,2.85922649760619,7
IOI rate,Temporal rate,Swedish,M,inst,10.6703684552028,8.09309358033733,7
IOI rate,Temporal rate,Swedish,M,recit,4.64367664236036,2.79810511906061,7
IOI rate,Temporal rate,Swedish,M,song,2.95931723127302,1.74804473230611,7
IOI rate,Temporal rate,Hindi,F,desc,6.23066436812872,3.07042869801382,8
IOI rate,Temporal rate,Hindi,F,inst,2.93858730037426,0.879686217728327,8
IOI rate,Temporal rate,Hindi,F,recit,5.70132249186161,3.72248821219481,8
IOI rate,Temporal rate,Hindi,F,song,3.0738661377085,1.75700722093495,8
IOI rate,Temporal rate,Bulgarian,F,desc,6.91435931189835,4.94724258590073,9
IOI rate,Temporal rate,Bulgarian,F,recit,4.19845338222715,1.95844367719474,9
IOI rate,Temporal rate,Bulgarian,F,song,2.84385147767464,1.23586700119921,9
IOI rate,Temporal rate,Bulgarian,F,inst,3.24393520342304,0.981033905213693,9
IOI rate,Temporal rate,Greek,M,desc,9.36753190702708,7.32066230035712,10
IOI rate,Temporal rate,Greek,M,inst,4.05873186577129,1.27874364816327,10
IOI rate,Temporal rate,Greek,M,recit,7.36221995976319,2.31696839891101,10
IOI rate,Temporal rate,Greek,M,song,3.17446943907314,1.31682382957888,10
IOI rate,Temporal rate,Mandarin,F,desc,4.05659662997377,2.71879297260676,11
IOI rate,Temporal rate,Mandarin,F,recit,3.09974720088577,1.3691061429859,11
IOI rate,Temporal rate,Mandarin,F,song,1.12917338872024,0.422293213383766,11
IOI rate,Temporal rate,Mandarin,F,inst,2.6729910149897,2.01437026302556,11
IOI rate,Temporal rate,German,M,desc,4.83138558272308,2.4547357250795,12
IOI rate,Temporal rate,German,M,inst,2.33038235124961,1.21269912590887,12
IOI rate,Temporal rate,German,M,recit,4.65227414403102,2.15518822238817,12
IOI rate,Temporal rate,German,M,song,2.39369454956903,1.11064577803494,12
IOI rate,Temporal rate,Yoruba,F,desc,4.26182990837657,1.68443250741713,13
IOI rate,Temporal rate,Yoruba,F,inst,2.46253427770924,0.863174171760378,13
IOI rate,Temporal rate,Yoruba,F,recit,3.36900268629275,1.46411232050526,13
IOI rate,Temporal rate,Yoruba,F,song,2.6612916751125,0.874602729226548,13
IOI rate,Temporal rate,Japanese,M,desc,7.35940061052931,3.9476358741384,14
IOI rate,Temporal rate,Japanese,M,recit,6.03517486438273,2.70833653740065,14
IOI rate,Temporal rate,Japanese,M,song,2.12083844402131,1.34821535248072,14
IOI rate,Temporal rate,Japanese,M,inst,1.45544004687322,0.610997590480399,14
IOI rate,Temporal rate,Thai,M,desc,5.04055297499485,2.3630293070625,15
IOI rate,Temporal rate,Thai,M,inst,4.00262869704629,3.4094429319071,15
IOI rate,Temporal rate,Thai,M,recit,1.55172026874972,0.7742179038588,15
IOI rate,Temporal rate,Thai,M,song,1.39890615903686,1.19761514413108,15
IOI rate,Temporal rate,Spanish,M,desc,5.65515367602034,3.13500271187484,16
IOI rate,Temporal rate,Spanish,M,inst,2.79121667575076,1.35826251950068,16
IOI rate,Temporal rate,Spanish,M,recit,3.98918041042439,1.99680582887746,16
IOI rate,Temporal rate,Spanish,M,song,2.01944016921396,0.941777437330668,16
IOI rate,Temporal rate,Balinese,M,desc,3.95365287374324,2.84943536357804,17
IOI rate,Temporal rate,Balinese,M,inst,7.69229924543998,7.56795083554783,17
IOI rate,Temporal rate,Balinese,M,recit,1.8976643840433,0.831610374626646,17
IOI rate,Temporal rate,Balinese,M,song,1.49172392713582,0.654505518663951,17
IOI rate,Temporal rate,Chilean,M,desc,4.60593751576577,2.44534628943689,18
IOI rate,Temporal rate,Chilean,M,inst,2.06810705384497,1.7301099243126,18
IOI rate,Temporal rate,Chilean,M,recit,2.86785128682203,1.76913705940262,18
IOI rate,Temporal rate,Chilean,M,song,2.00805383532685,1.34753352208578,18
IOI rate,Temporal rate,English,M,desc,8.03231068670137,5.16384333536015,19
IOI rate,Temporal rate,English,M,inst,3.9623112338568,2.38116078616864,19
IOI rate,Temporal rate,English,M,recit,6.61238998456246,3.3928651623981,19
IOI rate,Temporal rate,English,M,song,4.09490732204356,2.21102199040653,19
IOI rate,Temporal rate,Spanish,M,recit,6.59651226833993,3.87451751039847,62
IOI rate,Temporal rate,Spanish,M,song,3.75875744372784,1.30199173596045,62
IOI rate,Temporal rate,Spanish,M,desc,5.95591511359964,4.13566643753194,62
IOI rate,Temporal rate,Spanish,M,inst,3.69218771611215,1.3444027953925,62
IOI rate,Temporal rate,Dutch,F,inst,2.00810415066568,0.670636274041717,63
IOI rate,Temporal rate,Dutch,F,desc,5.98200397773544,3.83081491862954,63
IOI rate,Temporal rate,Dutch,F,recit,4.97767237169912,1.92058414691538,63
IOI rate,Temporal rate,Dutch,F,song,3.7305239296913,2.1670696111238,63
IOI rate,Temporal rate,Wolof,M,desc,5.1973969790643,2.76409594816412,20
IOI rate,Temporal rate,Wolof,M,recit,4.23554242683029,2.08388157488566,20
IOI rate,Temporal rate,Wolof,M,song,3.58474179430539,1.35474144439921,20
IOI rate,Temporal rate,Wolof,M,inst,3.47772956503797,1.03100632434532,20
IOI rate,Temporal rate,Hebrew,F,desc,5.88346483831197,3.10789590249122,21
IOI rate,Temporal rate,Hebrew,F,inst,4.0917874144045,1.97896547274051,21
IOI rate,Temporal rate,Hebrew,F,recit,6.34284605154076,2.86814234325784,21
IOI rate,Temporal rate,Hebrew,F,song,2.69514336431386,1.34922495194619,21
IOI rate,Temporal rate,Catalan,M,desc,7.60371547039327,4.54041915242221,22
IOI rate,Temporal rate,Catalan,M,inst,1.84679103857672,0.892070565348039,22
IOI rate,Temporal rate,Catalan,M,recit,7.0613442539202,2.39623473607569,22
IOI rate,Temporal rate,Catalan,M,song,1.81341482165843,0.781934197292739,22
IOI rate,Temporal rate,Portuguese,M,desc,6.82588454581764,4.90440677014939,23
IOI rate,Temporal rate,Portuguese,M,inst,1.81822539217109,0.85385982607204,23
IOI rate,Temporal rate,Portuguese,M,recit,3.73598161002279,1.45075771945796,23
IOI rate,Temporal rate,Portuguese,M,song,2.03092009012025,0.99252023103078,23
IOI rate,Temporal rate,Amamidialect,F,desc,5.99159207076713,2.37613394939805,24
IOI rate,Temporal rate,Amamidialect,F,inst,3.27182710447821,2.46431952621092,24
IOI rate,Temporal rate,Amamidialect,F,recit,5.53494746902047,2.36720862832055,24
IOI rate,Temporal rate,Amamidialect,F,song,3.46250386844398,2.21256166625262,24
IOI rate,Temporal rate,Swahili,M,desc,6.71171786892985,3.73406391791538,25
IOI rate,Temporal rate,Swahili,M,recit,4.57888280043429,1.63944417749746,25
IOI rate,Temporal rate,Swahili,M,song,1.96157092194404,1.13230445355804,25
IOI rate,Temporal rate,Swahili,M,inst,2.12201711558563,1.23597973006656,25
IOI rate,Temporal rate,Dutch,M,desc,5.48967552251265,3.70061206047189,26
IOI rate,Temporal rate,Dutch,M,inst,2.54539510566968,1.41852620601514,26
IOI rate,Temporal rate,Dutch,M,recit,3.19373029343776,1.47950926948861,26
IOI rate,Temporal rate,Dutch,M,song,2.62629398878541,1.32621888304408,26
IOI rate,Temporal rate,Spanish,M,desc,6.59436298253502,3.72646947205635,27
IOI rate,Temporal rate,Spanish,M,inst,3.16761092323453,1.46200629725272,27
IOI rate,Temporal rate,Spanish,M,recit,5.66087764279166,3.04967990553822,27
IOI rate,Temporal rate,Spanish,M,song,3.88561666945992,1.99434389473292,27
IOI rate,Temporal rate,Punjabi,F,desc,5.20501647212491,2.40620067981897,28
IOI rate,Temporal rate,Punjabi,F,inst,2.2937603177783,1.31671927949814,28
IOI rate,Temporal rate,Punjabi,F,recit,5.04783531611607,2.35495736264744,28
IOI rate,Temporal rate,Punjabi,F,song,3.40453655872494,1.49572830992817,28
IOI rate,Temporal rate,HainanHua,F,desc,5.22207268852476,2.0125904061969,29
