feature,lang,diff,stderr,ci95_l,ci95_u,method,groupid
f0,Portuguese,0.999999912427639,1.23846020674529e-07,0.999999669631078,1.0000001552242,common language effect size,23
-|Δf0|,Portuguese,0.867970303862081,0.00551752526212976,0.857152613200227,0.878787994523936,common language effect size,23
Spectral centroid,Portuguese,0.38121918041998,0.00945950797461756,0.362670644480675,0.399767716359285,common language effect size,23
f0,Amamidialect,0.99488444361974,0.000785188897083875,0.99334389380688,0.996424993432601,common language effect size,24
-|Δf0|,Amamidialect,0.956735618901813,0.00414802387193598,0.948596187308742,0.964875050494884,common language effect size,24
Spectral centroid,Amamidialect,0.803992532563961,0.00890957749412341,0.786519041823535,0.821466023304387,common language effect size,24
f0,Swahili,0.999717194570136,0.00039994727442678,NaN,NaN,common language effect size,25
-|Δf0|,Swahili,0.999717194570136,0.00039994727442678,NaN,NaN,common language effect size,25
Spectral centroid,Swahili,0.999750124937531,0.000353376702242153,NaN,NaN,common language effect size,25
f0,Dutch,0.999999927173556,1.02992144529984e-07,0.99999972526458,1.00000012908253,common language effect size,26
-|Δf0|,Dutch,0.977379523942276,0.00211963378132895,0.973224049923345,0.981534997961207,common language effect size,26
Spectral centroid,Dutch,0.53606034325315,0.0101265697068737,0.516202388161346,0.555918298344955,common language effect size,26
f0,Spanish,0.996143620365308,0.000454299272344302,0.99525296100453,0.997034279726087,common language effect size,27
-|Δf0|,Spanish,0.958699301426806,0.00279474134792158,0.953219353001907,0.964179249851705,common language effect size,27
Spectral centroid,Spanish,0.307048595759884,0.00849754502475649,0.290386838897463,0.323710352622306,common language effect size,27
f0,Punjabi,0.213012223919989,0.00614277922063321,0.200969618056145,0.225054829783832,common language effect size,28
-|Δf0|,Punjabi,0.95521151664583,0.00312697764478817,0.949080525897652,0.961342507394009,common language effect size,28
Spectral centroid,Punjabi,0.606409688708869,0.00926239933746586,0.588248877989481,0.624570499428257,common language effect size,28
f0,HainanHua,0.997642476045162,0.000312875613011095,0.997029074546537,0.998255877543787,common language effect size,29
-|Δf0|,HainanHua,0.927185151168753,0.00460918414920595,0.918145068669196,0.93622523366831,common language effect size,29
Spectral centroid,HainanHua,0.343303700262545,0.0101966747158834,0.323306110399708,0.363301290125381,common language effect size,29
f0,Williche,0.999743721168631,0.000362432999070501,NaN,NaN,common language effect size,30
-|Δf0|,Williche,0.999743721168631,0.000362432999070501,NaN,NaN,common language effect size,30
Spectral centroid,Williche,0.99975024975025,0.000353200190402871,NaN,NaN,common language effect size,30
f0,Euskara,0.922958610397945,0.00392291549037883,0.915266342627179,0.930650878168712,common language effect size,31
-|Δf0|,Euskara,0.970166754704404,0.00233234949433565,0.965592855034267,0.974740654374541,common language effect size,31
Spectral centroid,Euskara,0.727285701311675,0.00853174735740284,0.710557407570674,0.744013995052676,common language effect size,31
f0,Danish,0.896578784095035,0.00507486074093844,0.886626517881984,0.906531050308087,common language effect size,32
-|Δf0|,Danish,0.978462520631941,0.00224000573820573,0.974069684310396,0.982855356953486,common language effect size,32
Spectral centroid,Danish,0.373365641606053,0.00986029002305878,0.354029173231628,0.392702109980477,common language effect size,32
f0,Hebrew,0.999999873461802,1.78952036249283e-07,0.999999522612442,1.00000022431116,common language effect size,33
-|Δf0|,Hebrew,0.819517808479881,0.00710895238477902,0.805577876819799,0.833457740139963,common language effect size,33
Spectral centroid,Hebrew,0.630136596670063,0.00936605457944356,0.611771933735049,0.648501259605077,common language effect size,33
f0,IsiXhosa,0.972089189219719,0.00197809940309459,0.968210771418893,0.975967607020546,common language effect size,34
-|Δf0|,IsiXhosa,0.945286109309351,0.00319493679405869,0.939022052193733,0.951550166424968,common language effect size,34
Spectral centroid,IsiXhosa,0.550626911114251,0.00931364366618541,0.532366120561709,0.568887701666794,common language effect size,34
f0,Turkish,0.999648629655657,0.000496912706385487,NaN,NaN,common language effect size,35
-|Δf0|,Turkish,0.999648629655657,0.000496912706385487,NaN,NaN,common language effect size,35
Spectral centroid,Turkish,0.999700239808153,0.000423924928768913,NaN,NaN,common language effect size,35
f0,Ukrainian,0.99960571774717,0.00016218079431919,0.999287590077575,0.999923845416765,common language effect size,36
-|Δf0|,Ukrainian,0.994809783074797,0.000625943855224761,0.993582292614727,0.996037273534867,common language effect size,36
Spectral centroid,Ukrainian,0.511239665255092,0.012269765939268,0.48717151757509,0.535307812935094,common language effect size,36
f0,Marathi,0.999999931697488,9.65943385668832e-08,0.999999742331898,1.00000012106308,common language effect size,37
-|Δf0|,Marathi,0.905282584567047,0.004284907335333,0.896880993958634,0.913684175175461,common language effect size,37
Spectral centroid,Marathi,0.814210514759965,0.00729391728064889,0.799910112046676,0.828510917473255,common language effect size,37
f0,English,0.999999913008364,1.23024751588693e-07,0.999999671822088,1.00000015419464,common language effect size,38
-|Δf0|,English,0.962728955461848,0.00225006790814171,0.958317649845643,0.967140261078053,common language effect size,38
Spectral centroid,English,0.844281343032592,0.0075127120356339,0.829548506693875,0.859014179371309,common language effect size,38
f0,French,0.999999905257023,1.3398680366499e-07,0.999999642576666,1.00000016793738,common language effect size,39
-|Δf0|,French,0.977901768965081,0.00165339146952826,0.974659943692685,0.981143594237477,common language effect size,39
Spectral centroid,French,0.495413178230361,0.0104626838928951,0.474895472273196,0.515930884187526,common language effect size,39
f0,English,0.999999911249562,1.25512073376474e-07,0.999999665184305,1.00000015731482,common language effect size,40
-|Δf0|,English,0.96675355334567,0.00260219749595523,0.961650403451341,0.971856703239999,common language effect size,40
Spectral centroid,English,0.756246500751995,0.00815259488126889,0.74026096992514,0.772232031578851,common language effect size,40
f0,Azerbaijani,0.994753332432151,0.00099725881613889,0.992798121287226,0.996708543577077,common language effect size,41
-|Δf0|,Azerbaijani,0.899969934695362,0.00426151077661554,0.891615321314718,0.908324548076006,common language effect size,41
Spectral centroid,Azerbaijani,0.792297108657478,0.0082507856556453,0.776119339209645,0.808474878105311,common language effect size,41
f0,Russian,0.996580091751804,0.000538239532861457,0.995524441784487,0.997635741719122,common language effect size,42
-|Δf0|,Russian,0.954009696362519,0.00326444829673058,0.94760746153084,0.960411931194199,common language effect size,42
Spectral centroid,Russian,0.720006223284912,0.00986201242200857,0.700665198396012,0.739347248173811,common language effect size,42
f0,Urdu,0.999999884036029,1.63997821080243e-07,0.999999562507318,1.00000020556474,common language effect size,43
-|Δf0|,Urdu,0.919450729691694,0.00480581056454134,0.910027855623787,0.9288736037596,common language effect size,43
Spectral centroid,Urdu,0.21866225,0.00807560390089308,0.202828293071334,0.234496206928666,common language effect size,43
f0,Lithuanian,0.999999936955111,8.91589371976506e-08,0.999999762168125,1.0000001117421,common language effect size,44
-|Δf0|,Lithuanian,0.973746973372487,0.00213237615247705,0.969566687361361,0.977927259383612,common language effect size,44
Spectral centroid,Lithuanian,0.381996624753868,0.00940782675668365,0.36354863566815,0.400444613839585,common language effect size,44
f0,Korean,0.961466508612363,0.00235053488125111,0.956857860947659,0.966075156277066,common language effect size,45
-|Δf0|,Korean,0.945835250769199,0.00365589646679513,0.938665711942555,0.953004789595844,common language effect size,45
Spectral centroid,Korean,0.348327335582583,0.00877657158455383,0.33111933435867,0.365535336806497,common language effect size,45
f0,Farsi,0.999999914970238,1.20250242791695e-07,0.999999679224322,1.00000015071615,common language effect size,46
-|Δf0|,Farsi,0.942996897774159,0.00325178442671892,0.936621949566507,0.949371845981811,common language effect size,46
Spectral centroid,Farsi,0.681278301379046,0.00955339225374213,0.662545481821464,0.700011120936627,common language effect size,46
f0,Persian,0.999644381223329,0.000502920897003234,NaN,NaN,common language effect size,47
-|Δf0|,Persian,0.999644381223329,0.000502920897003234,NaN,NaN,common language effect size,47
Spectral centroid,Persian,0.999722376457524,0.000392618979004191,NaN,NaN,common language effect size,47
f0,Kannada,0.999771062271062,0.000323766841202632,NaN,NaN,common language effect size,48
-|Δf0|,Kannada,0.999771062271062,0.000323766841202632,NaN,NaN,common language effect size,48
Spectral centroid,Kannada,0.999750124937531,0.000353376702242153,NaN,NaN,common language effect size,48
f0,Japanese,0.999643112062812,0.000504715761018235,NaN,NaN,common language effect size,49
-|Δf0|,Japanese,0.999643112062812,0.000504715761018235,NaN,NaN,common language effect size,49
Spectral centroid,Japanese,0.99975,0.000353553390593274,NaN,NaN,common language effect size,49
f0,English,0.947452166125322,0.00248403341959581,0.942582498709918,0.952321833540726,common language effect size,50
-|Δf0|,English,0.936446315783287,0.00325612582608456,0.930062758159857,0.942829873406716,common language effect size,50
Spectral centroid,English,0.256883870261969,0.00775497714607131,0.241679006974598,0.27208873354934,common language effect size,50
f0,Georgian,0.987514980059331,0.0011373852267864,0.985284947993705,0.989745012124957,common language effect size,51
-|Δf0|,Georgian,0.942087862433239,0.00296972678893908,0.936265812203305,0.947909912663172,common language effect size,51
Spectral centroid,Georgian,0.426765542150157,0.00922939252728499,0.408669570641023,0.444861513659292,common language effect size,51
f0,Puri,0.999999868694583,1.85693902172881e-07,0.999999504624278,1.00000023276489,common language effect size,52
