feature,lang,diff,stderr,ci95_l,ci95_u,method
-|Δf0|,Williche,0.999768732654949,0.000327061415904971,NaN,NaN,common language effect size
Spectral centroid,Williche,0.99975024975025,0.000353200190402871,NaN,NaN,common language effect size
f0,Euskara,0.986640403041423,0.00158897147075097,0.983523973350952,0.989756832731893,common language effect size
-|Δf0|,Euskara,0.956737195671712,0.00278723419864224,0.951271696525967,0.962202694817457,common language effect size
Spectral centroid,Euskara,0.792939328403864,0.00800439360051256,0.777244747964416,0.808633908843311,common language effect size
f0,Danish,0.904383554197454,0.00419075495040253,0.896166803276284,0.912600305118623,common language effect size
-|Δf0|,Danish,0.971254091454442,0.00221901418960582,0.966903267954744,0.975604914954139,common language effect size
Spectral centroid,Danish,0.27804497546422,0.00843617177409944,0.261503009198269,0.294586941730172,common language effect size
f0,Hebrew,0.999999907678763,1.30561944814528e-07,0.999999651715268,1.00000016364226,common language effect size
-|Δf0|,Hebrew,0.826599114602413,0.00624808555243828,0.814348945388828,0.838849283815998,common language effect size
Spectral centroid,Hebrew,0.666983615784815,0.00944222134724466,0.648469983155436,0.685497248414193,common language effect size
f0,IsiXhosa,0.969217575771253,0.0028345890888169,0.963659217155012,0.974775934387494,common language effect size
-|Δf0|,IsiXhosa,0.958483528612842,0.00291507234184869,0.952767699170698,0.964199358054986,common language effect size
Spectral centroid,IsiXhosa,0.5441568908483,0.00944002214913979,0.525647785814941,0.562665995881659,common language effect size
f0,Turkish,0.999797242497972,0.000286742409240287,NaN,NaN,common language effect size
-|Δf0|,Turkish,0.999797242497972,0.000286742409240287,NaN,NaN,common language effect size
Spectral centroid,Turkish,0.99975074775673,0.00035249590288462,NaN,NaN,common language effect size
f0,Ukrainian,0.999159134742217,0.000192951118585458,0.998780775935702,0.999537493548733,common language effect size
-|Δf0|,Ukrainian,0.995954494995939,0.000439270297910909,0.995093286577647,0.996815703414231,common language effect size
Spectral centroid,Ukrainian,0.542375718966922,0.0101214672597139,0.52252732789884,0.562224110035003,common language effect size
f0,Marathi,0.999999931426581,9.69774593941192e-08,0.9999997413098,1.00000012154336,common language effect size
-|Δf0|,Marathi,0.917216385481361,0.00398291091667095,0.909406926792613,0.92502584417011,common language effect size
Spectral centroid,Marathi,0.856818506169156,0.00640716642007073,0.844256724073176,0.869380288265135,common language effect size
f0,English,0.999999913890185,1.2177766845044e-07,0.999999675149152,1.00000015263122,common language effect size
-|Δf0|,English,0.98589779557151,0.00123161712173331,0.983482935458194,0.988312655684826,common language effect size
Spectral centroid,English,0.814549200799201,0.00794644822128302,0.7989659444844,0.830132457114002,common language effect size
f0,French,0.99999992735312,1.02738203481376e-07,0.999999725943249,1.00000012876299,common language effect size
-|Δf0|,French,0.95689729823346,0.00228798345370387,0.952411877420736,0.961382719046185,common language effect size
Spectral centroid,French,0.638947216619544,0.0098793353046853,0.619574243106764,0.658320190132324,common language effect size
f0,English,0.999999923629201,1.08004619087132e-07,0.999999711892365,1.00000013536604,common language effect size
-|Δf0|,English,0.963783287167186,0.00257343670953566,0.958737030817965,0.968829543516406,common language effect size
Spectral centroid,English,0.703017012957073,0.00856630360405648,0.686220815987331,0.719813209926815,common language effect size
